Name,URL,ID,DimensionValue,DimensionValueContextPath,New IS Name
Fine Arts & Design,fine-arts-design,20,,,Fine Arts & Design
Business,business,21,,,Business
Technology,technology,22,,,Technology
Education,education,24,,,Education
Health & Medicine,health-medicine,25,,,Health & Medicine
Liberal Arts & Humanities,liberal-arts-humanities,23,,,Liberal Arts & Humanities
Criminal Justice & Legal,criminal-justice-legal,29,,,Criminal Justice & Legal
"Math, Science & Engineering",math-science-engineering,26,,,"Math, Science & Engineering"
Public Affairs & Social Sciences,public-affairs-social-sciences27,,,Public Affairs & Social Sciences
Religious Studies,religious-studies,30,,,Religious Studies
Vocational Training,vocational-training,28,,,Vocational Training